Cruise,Location,Type,Date,Time,Latitude,Longitude,Bottom_Depth,Sample_Depth,Phosphate,Silicate,Nitrite,Nitrite_and_Nitrate,Comments
Additional nutrients,LTER 1 Backreef Water Column,Falcon tube,2008-09-02,09:00,-17.47785,-149.84213,2,0.5,0.22,1.4,0.19,0.55,Very strong wind directly from east for previous 3 days- 20-25 kts; heavy chop in lagoon; Cooks Bay calm; L1 and L2 very; vry choppy
Additional nutrients,LTER 1 Fringing Reef Water Column,Falcon tube,2008-09-02,09:00,-17.48488,-149.83365,14,0.5,0.21,1.83,0.1,0.56,Very strong wind directly from east for previous 3 days- 20-25 kts; heavy chop in lagoon; Cooks Bay calm; L1 and L2 very; vry choppy
Additional nutrients,LTER 1 Backreef Water Column,Falcon tube,2008-09-08,09:00,-17.47785,-149.84213,2,0.5,0.2,2.14,0.1,0.38,na
Additional nutrients,LTER 1 Backreef Water Column,Falcon tube,2008-12-05,15:30,-17.47785,-149.84213,2,0.5,0.24,1.63,0.03,0.16,Raining - started 2 hours earlier
Additional nutrients,LTER 1 Fringing Reef Water Column,Falcon tube,2008-12-05,17:45,-17.48488,-149.83365,14,0.5,0.24,1.55,0.13,0.27,Raining- heavy 
Additional nutrients,LTER 1 Forereef Water Column,Falcon tube,2008-12-06,09:30,-17.47503,-149.83707,17,0.5,0.23,1.44,0.17,0.29,Cloudy with sun - rained several hours the afternoon before
Additional nutrients,LTER 1 Fringing Reef Water Column,Falcon tube,2008-12-20,14:20,-17.48488,-149.83365,14,0.5,0.25,0.98,0.1,0.43,Cloudy with sun - rained several hours the afternoon before
Additional nutrients,LTER 1 Backreef Water Column,Falcon tube,2008-12-20,14:13,-17.47785,-149.84213,2,0.5,0.25,1,0.14,0.59,Cloudy with sun - rained several hours the afternoon before
Additional nutrients,LTER 1 Forereef Water Column,Falcon tube,2008-12-20,14:00,-17.47503,-149.83707,17,0.5,0.18,0.5,0.21,0.57,Cloudy with sun - rained several hours the afternoon before
Additional nutrients,LTER 1 Forereef Water Column,Falcon tube,2008-12-29,13:40,-17.47503,-149.83707,17,0.5,0.22,0.79,0.11,0.15,Hot - no clouds - big swell
